title	score
Kimi to Boku no Ashiato (MANGA)	80
Locker Room (ONE_SHOT)	80
Hon wo Okuru (ONE_SHOT)	80
Batsu Ichi JK (MANGA)	80
Kumika no Mikaku (MANGA)	80
Yagate Kimi ni Naru Koushiki Comic Anthology (MANGA)	80
Natsu e no Tunnel, Sayonara no Deguchi (NOVEL)	80
J no Subete (MANGA)	80
Starting Over (NOVEL)	80
Sayonara Rose Garden (MANGA)	80
Love Letter (ONE_SHOT)	80
Kanojo wa Itsumo Kagayaiteita (ONE_SHOT)	80
Oya ga Urusai node Kouhai (♀) to Gisou Kekkon shitemita. (MANGA)	80
Ichido dake demo, Koukai Shitemasu. (MANGA)	80
Shoujo Shuumatsu Ryokou Special Comic (MANGA)	80
Okitegami Kyouko no Urabyoushi (NOVEL)	80
Nickelodeon (MANGA)	80
Yasashii Sekai no Tsukurikata (MANGA)	80
Kenka Machi no Rival Jijou (ONE_SHOT)	80
Toumei Ningen↑↓Kyoutei (MANGA)	80
Kaketa Tsuki to Doughnuts (MANGA)	80
Kimi no Wasurekata wo Oshiete (NOVEL)	80
Service Area (ONE_SHOT)	80
Summer Time Render 2026: Mizen Jikobukken (MANGA)	80
Aoi Uroko to Suna no Machi (MANGA)	80
Suiiki (MANGA)	80
Silent Blue (MANGA)	80
Shoudou (ONE_SHOT)	80
Cross Road in their cases (NOVEL)	80
Sekai no Owari no Pen Friend (ONE_SHOT)	80
Kabe no Aru Futari (MANGA)	80
Boku wa Mondai Arimasen (MANGA)	80
Sono Hi, Night Date nano de. (ONE_SHOT)	80
Magi no Okurimono (MANGA)	80
Kimi no Yokogao shika Mirenai (MANGA)	80
La Pomme Prisonnière (MANGA)	80
Koganeiro (MANGA)	80
Sasurai Emanon (MANGA)	80
Just You and I (MANGA)	80
Amefuru Aru Hi no Isekai de (MANGA)	80
Mahou ga Tsukaenakutemo (MANGA)	80
Shounen Shoujo (MANGA)	80
Okitegami Kyouko no Yuigonsho (NOVEL)	80
Okitegami Kyouko no Chousenjou (NOVEL)	80
Kakushigoto (MANGA)	80
Satougashi no Dangan wa Uchinukenai: A Lollypop or A Bullet (MANGA)	80
Kamisama ga Uso wo Tsuku. (MANGA)	80
Aoi Tori: Wakuraba (MANGA)	80
10th (MANGA)	80
Kodomo no Kamisama (ONE_SHOT)	80
Shita no Ue no Kimi (NOVEL)	80
Boy meets Maria (MANGA)	80
Chikyuu no Owari wa Koi no Hajimari (MANGA)	80
Semete, Ano Yuki no You ni (MANGA)	80
100-nichi Go ni Shinu Wani (MANGA)	80
Kimi ni Shika Kikoenai (MANGA)	80
No Zo Ki A Na (MANGA)	80
Crayon Shin-chan: Ora-tachi no Kyouryuu Nikki (MOVIE)	77
Senpai wa Otokonoko: Ame Nochi Hare (MOVIE)	77
Dounika Naru Hibi (MOVIE)	77
Lycoris Recoil: Friends are thieves of time. (ONA)	77
Hana wa Saku, Shura no Gotoku (TV)	77
SPY×FAMILY Part 2 (TV)	77
Karakai Jouzu no Takagi-san 3 (TV)	77
Bishounen Tanteidan (TV)	77
Non Non Biyori: Repeat - Hotaru ga Tanoshinda (OVA)	77
Yoru wa Mijikashi Arukeyo Otome (MOVIE)	77
Junkers Come Here (MOVIE)	77
Karakai Jouzu no Takagi-san (TV)	77
Golden Time (TV)	77
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru (TV)	77
Akane Sasu Shoujo (TV)	77
Futari-bun no Shoumei (ONA)	77
Migi to Dali (TV)	77
Shiro Seijo to Kuro Bokushi (TV)	77
Ima, Soko ni Iru Boku (TV)	77
Yuru Camp△ SEASON 3 (TV)	77
Niehime to Kemono no Ou (TV)	77
Made in Abyss: Tabidachi no Yoake (MOVIE)	77
Tansu Warashi. (MOVIE)	77
Yoru no Kuni (ONA)	77
Another World (ONA)	77
Sorairo Utility (SPECIAL)	77
Mirai no Mirai (MOVIE)	77
Toki wo Kakeru Shoujo (MOVIE)	77
Tenkuu no Shiro Laputa (MOVIE)	77
Shigatsu wa Kimi no Uso: MOMENTS (OVA)	77
Tamako Market (TV)	77
Nekomonogatari (Kuro) (TV)	77
Akame ga Kill! (TV)	77
20-byou Date (ONE_SHOT)	77
Yoru wo Tomenaide (MANGA)	77
Karami Zakari (MANGA)	77
Shenmi Lieche (MANGA)	77
Gakkou ni Ikenai Watashitachi: Pride no Hate (MANGA)	77
Old Home no Haibanetachi: Bangai-hen (MANGA)	77
Yandere Kanojo (MANGA)	77
Yandere Kanojo (MANGA)	77
Nanairo Sekai (MANGA)	77
Hatsuharu ga Saku (MANGA)	77
Hoshi no Ko (MANGA)	77
Shingeki no Kyojin: Kakuzetsu Toshi no Joou (NOVEL)	77
Hana Bolo (MANGA)	77
Himitsu x Himitsu (MANGA)	77
Gozen 3-ji no Muhouchitai (MANGA)	77
Tonari wa Nani wo Kuu Hito zo (MANGA)	77
Hummingbird Rhapsody (ONE_SHOT)	77
Haru no Noroi (MANGA)	77
Ponytail ni Yureru (ONE_SHOT)	77
Boys Run The Riot (MANGA)	77
Pension Life Vampire (MANGA)	77
Haru to Bonkura (MANGA)	77
Kinyoubi no Baby Violet (MANGA)	77
Lycoris Recoil Koushiki Comic Anthology: Reload (MANGA)	77
Moshimo Tokyo (ONE_SHOT)	77
Watashi to Watashi (MANGA)	77
Koe no Chiisai Komori-san to Kusodeka Oogoe no Oobayashi-kun (MANGA)	77
Wasure Yuki (ONE_SHOT)	77
Chikyuu Umare no Anata e (MANGA)	77
Kokoro no Mama de (MANGA)	77
Love Letter (MANGA)	77
Kimi wa Midara na Boku no Joou (MANGA)	77
Nante Nasakenai Bokurada. (ONE_SHOT)	77
Parasol Doumei (ONE_SHOT)	77
DIRTY WORK (ONE_SHOT)	77
Aku no Hana (MANGA)	77
Urami Koi, Koi, Urami Koi. (ONE_SHOT)	77
γ: Ganma (MANGA)	77
To LOVE-Ru (MANGA)	77
To LOVE-Ru Darkness (MANGA)	77
Doukyonin ga Konoyo no Mon Janai (MANGA)	77
Mirai Nikki (MANGA)	77
Nemure Omoi Ko, Sora no Shitone ni (MOVIE)	75
Doraemon: Nobita no E Sekai Monogatari (MOVIE)	75
Kobayashi-san Chi no Maidragon S: Nippon no Omotenashi (Attend wa Dragon desu) (OVA)	75
Kobayashi-san Chi no Maidragon: Valentine, Soshite Onsen! (Amari Kitai Shinaide Kudasai) (OVA)	75
Chihayafuru 2: Waga Mi Yo ni Furu Nagame Seshi Ma ni (OVA)	75
Artiswitch Picture Drama (ONA)	75
Kagami no Kojou no Mae to Ato (SPECIAL)	75
Kowloon Generic Romance (TV)	75
Acro Trip (ONA)	75
Kimi no Iro (MOVIE)	75
Sore ga Seiyuu!: Petit Uchiage (SPECIAL)	75
Doraemon: Nobita no Chikyuu Symphony (MOVIE)	75
Mattaku Saikin no Tantei to Kitara (TV)	75
Himote House (TV_SHORT)	75
Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime (SPECIAL)	75
8-gatsu 26-nichi: Chou Hidamatsuri Special (SPECIAL)	75
Hokkyoku Hyakkaten no Concierge-san (MOVIE)	75
Kono Kaisha ni Suki na Hito ga Imasu (TV)	75
Shigofumi: Sorekara (OVA)	75
Unnamed Memory Act.2 (TV)	75
Shinchou Yuusha: Kono Yuusha ga Ore TUEEE Kuse ni Shinchou Sugiru (TV)	75
Yaneura no Rudger (MOVIE)	75
Gakuen Utopia Manabi Straight! (TV)	75
Ameku Takao no Suiri Karte (TV)	75
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai (SPECIAL)	75
Hisone to Maso-tan (TV)	75
Honey Lemon Soda (TV)	75
Boku no Tsuma wa Kanjou ga Nai (ONA)	75
Look Back (MOVIE)	75
Houkago Saikoro Club (TV)	75
Shigofumi (TV)	75
Yubisaki to Renren (TV)	75
Uchitama?! Uchi no Tama Shirimasen ka? (TV)	75
8-gatsu no Symphony: Shibuya 2002-2003 (MOVIE)	75
Soredemo Ayumu wa Yosetekuru (TV)	75
Hibike! Euphonium: Suisougaku-bu no Nichijou (SPECIAL)	75
SPY×FAMILY (TV)	75
CLANNAD: After Story - Mou Hitotsu no Sekai, Kyou-hen (OVA)	75
Hikikomari Kyuuketsuki no Monmon (TV)	75
Karakai Jouzu no Takagi-san: Water Slide (OVA)	75
Honey Tokyo (ONA)	75
Shingeki no Kyojin: LOST GIRLS (OVA)	75
Afro-Ken (OVA)	75
Shingeki no Kyojin Gaiden: Kuinaki Sentaku (OVA)	75
Soredemo Machi wa Mawatteiru (TV)	75
Sketchbook: full color's (TV)	75
Mushoku Tensei: Isekai Ittara Honki Dasu (TV)	75
Machikado Mazoku (TV)	75
Love Lab (TV)	75
Kokoro Toshokan (TV)	75
Wotaku ni Koi wa Muzukashii (TV)	75
Joshiraku (TV)	75
Joshikousei no Mudazukai (TV)	75
Hinamatsuri (TV)	75
Hidamari Sketch (TV)	75
Flying Witch (TV)	75
Escha Chron (OVA)	75
Araburu Kisetsu no Otome-domo yo. (TV)	75
Tokimeki wa, Sugu Soba ni. (SPECIAL)	75
Uma Musume: Pretty Derby - ROAD TO THE TOP (ONA)	75
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA (OVA)	75
Mahou Shoujo Madoka★Magica: Concept Movie (MOVIE)	75
Maou-jou de Oyasumi (TV)	75
Nichijou (TV)	75
Aiura (TV_SHORT)	75
Natsunagu! (TV_SHORT)	75
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou (MOVIE)	75
Sugar Apple Fairy Tale (TV)	75
Blue Thermal (MOVIE)	75
Kubo-san wa Mob wo Yurusanai (TV)	75
Higashi no Eden (TV)	75
Prima Doll (TV)	75
Tonari no Seki-kun Specials (SPECIAL)	75
Tonari no Seki-kun (TV_SHORT)	75
Ano Hi no Kokoro wo Toraete (ONA)	75
Hinata no Aoshigure (MOVIE)	75
Yokohama Kaidashi Kikou: Quiet Country Cafe (OVA)	75
Yokohama Kaidashi Kikou (OVA)	75
So Ra No Wo To OVA (OVA)	75
Koyomi History (OVA)	75
Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure. (OVA)	75
Taishou Otome Otogibanashi (TV)	75
Usagi Drop Specials (SPECIAL)	75
Haikyuu!! TO THE TOP (TV)	75
Heya Camp△: Sauna to Gohan to Sanrin Bike (OVA)	75
Kizumonogatari III: Reiketsu-hen (MOVIE)	75
Kizumonogatari II: Nekketsu-hen (MOVIE)	75
Chobits (TV)	75
Samurai Champloo (TV)	75
Death Parade (TV)	75
Cowboy Bebop: Tengoku no Tobira (MOVIE)	75
Cowboy Bebop (TV)	75
Poor Poor LIPS (MANGA)	75
Kairaku no Rou (MANGA)	75
Shitsuren Tantei Momose (NOVEL)	75
Boku to Kanojo to Futari no Korekara (NOVEL)	75
Bokura ni Futsuu wa Muzukashii (MANGA)	75
Jukkakukan no Satsujin (MANGA)	75
Shikabane Shoujo to Kakanai Gaka (MANGA)	75
JK to Sutego no Akachan (MANGA)	75
Arata naru Sekai: Gendai-hen (NOVEL)	75
Goggles (MANGA)	75
Theseus no Fune (MANGA)	75
Sen to Man (MANGA)	75
Yume no Hashibashi (MANGA)	75
Nejikemono (MANGA)	75
Hiraeth wa Tabiji no Hate (MANGA)	75
Rooms: Umishima Senbon Illust＋Comic-shuu (MANGA)	75
Gaebalhaejuseyo (MANGA)	75
Asahina Wakaba to ○○ na Kareshi (MANGA)	75
Kakeochi Girl (MANGA)	75
Hina to Bambi (MANGA)	75
Boku no Kotori-san (ONE_SHOT)	75
Sayonara Genga (ONE_SHOT)	75
Maji de Tsukiau 15-fun Mae (MANGA)	75
San Nen Sa (MANGA)	75
Ori no Naka no Soloist (MANGA)	75
Shinozaki-san Ki wo Ota Shika ni! (MANGA)	75
Hakoniwa no Soleil (MANGA)	75
Shoujo Fujuubun (MANGA)	75
Shikaku (ONE_SHOT)	75
Nikurashii Hodo Aishiteru (MANGA)	75
Sayonara Alter (MANGA)	75
Boku no Sophia (ONE_SHOT)	75
Maid-san to Obocchama (MANGA)	75
Itsuka, Kimi wo (ONE_SHOT)	75
Yunagi no Machi Sakura no Kuni (MANGA)	75
Kimi ga Kizukasete Kureta Koto (ONE_SHOT)	75
Cinderella wa Sagasanai. (MANGA)	75
Bakemonogatari Anime Complete Guidebook (NOVEL)	75
Nisemonogatari Anime Complete Guidebook (NOVEL)	75
Same Girl (MANGA)	75
Kodomo Tsukuru Hon (MANGA)	75
Kimi no Wasurekata wo Oshiete (MANGA)	75
Hakoniwa no Toriko (ONE_SHOT)	75
Kanojo wo Mamoru 51 no Houhou (MANGA)	75
Tantei AI (NOVEL)	75
Ojojojo (MANGA)	75
Ane no Tomurai (ONE_SHOT)	75
Daisy, Mata Ashita (ONE_SHOT)	75
Yume no Shizuku to Hoshi no Hana (MANGA)	75
Ao ni Koubou (MANGA)	75
HELLO WORLD if: Kadenokouji Misuzu wa Sekai de Saisho no Shitsuren wo Suru (NOVEL)	75
Crime Crime: hard luck woman (ONE_SHOT)	75
Daisuki na Tsuma Datta (ONE_SHOT)	75
Kin no Tamago (MANGA)	75
Take Out Dekimasu ka? (ONE_SHOT)	75
Forget-me-not (MANGA)	75
Shakai Hito Yuri Anthology Rouge (MANGA)	75
Kotonoba Drive (MANGA)	75
Cider to Nakimushi. (MANGA)	75
Chissai Shitsuren (ONE_SHOT)	75
Futari no Renai Shoka (MANGA)	75
Sekai kara Neko ga Kieta nara (MANGA)	75
Okitegami Kyouko no Suisenbun (NOVEL)	75
Yige Guanyu Tangguo De Gushi (MANGA)	75
Hana to Rakurai (MANGA)	75
Tetsugaku Letra (MANGA)	75
Bus Hashiru (MANGA)	75
Tasogare Memorandum (MANGA)	75
Tomodachi no Hanashi (MANGA)	75
Futari Ashita mo Sorenari ni (MANGA)	75
Itoshi no Karin (MANGA)	75
Kaiyou-bu e Youkoso! (ONE_SHOT)	75
Mahou Shoujo Madoka★Magica: The different story (MANGA)	75
Mahou Shoujo Madoka☆Magica: Majuu-hen (MANGA)	75
Madoka no Himitsu (MANGA)	75
Mahou Shoujo Madoka★Magica: Homura Revenge! (MANGA)	75
Uji ni wa Monogatari ga Aru (SPECIAL)	72
Meitantei Conan: 100-man Dollar no Michishirube (MOVIE)	72
Kamisama Hajimemashita: Kamisama, Shiawase ni Naru (OVA)	72
Boku no Kokoro no Yabai Yatsu: Twi-Yaba (ONA)	72
Futsuu no Joshikousei ga [Locodol] Yattemita. OVA (OVA)	72
Futsuu no Joshikousei ga [Locodol] Yatte Mita.: Nagarekawa, Annai Shite Mita. (OVA)	72
SHIROBAKO: Gekichuugeki Animation (SPECIAL)	72
Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita 2nd (TV)	72
Junkers Come Here: Memories of You (OVA)	72
Katsute Mahou Shoujo to Aku wa Tekitai Shite Ita. (TV_SHORT)	72
Kekkon Suru tte, Hontou desu ka (TV)	72
Hidamari Sketch Specials (SPECIAL)	72
Hatsukoi no Nioi (MUSIC)	72
Hikaru ga Shinda Natsu (TV)	72
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha (MOVIE)	72
Kaze no Tani no Nausicaä (MOVIE)	72
Hoshi Furu Oukoku no Nina (TV)	72
Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 2nd Season (ONA)	72
DOG SIGNAL (TV)	72
Madougushi Dahlia wa Utsumukanai (TV)	72
Kidou Senshi Gundam: Suisei no Majo (TV)	72
Yahari Ore no Seishun Love Come wa Machigatteiru.: Kochira to Shite mo Karera Kanojora no Yukusue ni Sachi Ookaran Koto wo Negawazaru wo Enai. (OVA)	72
Futsuu no Joshikousei ga [Locodol] Yatte Mita. (TV)	72
Giji Harem (TV)	72
Arashi no Yoru ni (MOVIE)	72
Glass no Hana to Kowasu Sekai (MOVIE)	72
Miira no Kaikata (TV)	72
Kono Bijutsu-bu ni wa Mondai ga Aru! (TV)	72
Kirameki Inokori Daisensou (MUSIC)	72
Yoru ni Kakeru (MUSIC)	72
Shelter (MUSIC)	72
Watashi no Hashtag ga Haenakute. (ONA)	72
Yoake Tsugeru Lu no Uta (MOVIE)	72
Do It Yourself!! (TV)	72
TARI TARI: Kumottari, Kagayaitari, Mata Itsuka Utattari (SPECIAL)	72
Ousama Ranking: Yuuki no Takarabako (TV)	72
Kimi no Koe wo Todoketai (MOVIE)	72
FASTENING DAYS (ONA)	72
Omoi, Omoware, Furi, Furare (MOVIE)	72
Shachiku-san wa Youjo Yuurei ni Iyasaretai. (TV)	72
Kamiarizuki no Kodomo (MOVIE)	72
Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka? (MOVIE)	72
COLOURS (ONA)	72
HELLO WORLD (MOVIE)	72
Aki no Kanade (MOVIE)	72
Odd Taxi (TV)	72
Inari, Konkon, Koi Iroha. (TV)	72
Ousama Ranking (TV)	72
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou (TV)	72
Boku no Hero Academia 2 (TV)	72
Kizumonogatari I: Tekketsu-hen (MOVIE)	72
Koi no Torikata (MANGA)	72
Berry Berry Berry A (MANGA)	72
By Spring (MANGA)	72
Sundome!! Milky Way: Another End (MANGA)	72
#Zombie Sagashitemasu (MANGA)	72
Tsumetai Kousha no Toki wa Todomaru (MANGA)	72
Akane Kumo (MANGA)	72
Gakkou ni Ikenai Watashitachi (MANGA)	72
Ao no Hako (ONE_SHOT)	72
Kokoro Kimiiro Sakura Iro (MANGA)	72
Dounika Naru Hibi (MANGA)	72
Bocchi na Bokura no Renai Jijou (MANGA)	72
Kimi wa Yakamashi Tojite yo Kuchi wo! (MANGA)	72
Toshiue no Hito (MANGA)	72
Kimi ga Kirai na Koi no Hanashi (MANGA)	72
Minato Machi Neko Machi (MANGA)	72
Weather Report (MANGA)	72
Aki-Sora (MANGA)	72
Kyou mo Hitotsu Yane no Shita (MANGA)	72
GAME OVER (MANGA)	72
Hana to Hina wa Houkago (MANGA)	72
Heisei Umare 3 (MANGA)	72
Densha Otoko: Net Hatsu, Kakueki Teisha no Love Story (MANGA)	72
Hajimari no Hako (MANGA)	72
Sorairo no Graffiti (MANGA)	72
Akuryou (MANGA)	72
Ao ga Cool Nante Dare ga Kimeta!? (MANGA)	72
Mizuiro Cinema (MANGA)	72
Kilroy was Here (ONE_SHOT)	72
Tatta Hitokoto (MANGA)	72
Atsumori-kun no Oyome-san (←Mitei) (MANGA)	72
Kyou no Batsugemu (MANGA)	72
Alien 9 (MANGA)	72
Giji Harem (MANGA)	72
Kase-san Series (MANGA)	72
Hello, Melancholic! (MANGA)	72
Imouto no Tomodachi ga Nani Kangaeteru no ka Wakaranai (MANGA)	72
Shiranui Kitanroku (MANGA)	72
Koi ni Utsutsu wo Nukasube Karazu!! (ONE_SHOT)	72
Henshin Ganbou! (ONE_SHOT)	72
Neeko wa Tsurai yo (MANGA)	72
8-gatsu no Ghost (MANGA)	72
Kanda-kun to Serizawa-san (ONE_SHOT)	72
Hoshizora no Shita, Kimi no Koe dake wo Dakishimeru (NOVEL)	72
ID: INVADED #BRAKE BROKEN (MANGA)	72
GANTZ (MANGA)	72
Kobayashi-san Chi no Maidragon S: Mini Dra (ONA)	70
Sketchbook: full color's Picture Drama (SPECIAL)	70
Sui Kin Chi Ka Moku Dotten Amen SP Dance PV (SPECIAL)	70
Toki wa Meguru: TOKYO STATION (ONA)	70
Andersen (MUSIC)	70
Apocalypse Hotel (TV)	70
Gakuen Utopia Manabi Straight! Special (SPECIAL)	70
Nijiiro Days OAD (OVA)	70
Artiswitch: Ruru's Episodes of Memories (ONA)	70
Momokuri (ONA)	70
Ichiban Kuji Natsume Yuujinchou: Nyanko-sensei to Hana Shirabe (ONA)	70
CITY THE ANIMATION (TV)	70
Ame to Kimi to (TV)	70
Kinokoinu (TV)	70
Garden of Remembrance (MOVIE)	70
Arata naru Sekai: Mirai-hen (OVA)	70
Kurenai no Buta (MOVIE)	70
Suki demo Kirai na Amanojaku (MOVIE)	70
THE iDOLM@STER Cinderella Girls: U149 OVA (OVA)	70
Natsume Yuujinchou: Itsuka Yuki no Hi ni (OVA)	70
Asobi Asobase Specials (SPECIAL)	70
Joshiraku OVA (OVA)	70
Nichijou no 0-wa (OVA)	70
Sono Toki, Kanojo wa. (TV_SHORT)	70
Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi (OVA)	70
Estab-Life: Great Escape (ONA)	70
Suzumiya Haruhi-chan no Yuuutsu (ONA)	70
Hei He (ONA)	70
Artiswitch (ONA)	70
Hibike! Euphonium 2 Specials (SPECIAL)	70
Shuumatsu Train Doko e Iku? (TV)	70
Kidou Senshi Gundam: Suisei no Majo - PROLOGUE (SPECIAL)	70
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 - Eris no Goblin Toubatsu (SPECIAL)	70
Baby I Love You Daze (MUSIC)	70
Shingeki no Kyojin OVA (OVA)	70
Sugar Apple Fairy Tale Part 2 (TV)	70
Inu-ou (MOVIE)	70
Kyou no Asuka Show (ONA)	70
Soredemo Sekai wa Utsukushii (TV)	70
Asobi Asobase (TV)	70
Fuyu no Okurimono (ONA)	70
Tsuma, Shougakusei ni Naru. (TV)	70
COLORs (ONA)	70
Anata wo Hitokoto de Arawashite Kudasai: no Shitsumon ga Nigate da. (ONA)	70
Tentai Kansoku (ONA)	70
Ichiban Chikakute Tooi Hoshi (ONA)	70
Ichigo Mashimaro Episode 0 (SPECIAL)	70
Acchi Kocchi: PLACE=PRINCESS (OVA)	70
Acchi Kocchi (TV)	70
Nobunaga no Shinobi: Anegawa Ishiyama-hen (TV_SHORT)	70
Hoshikuzu Telepath (TV)	70
Higashi no Eden Movie I: The King of Eden (MOVIE)	70
Koukyuu no Karasu (TV)	70
Barakamon: Mijikamon (ONA)	70
Wakaokami wa Shougakusei! (Movie) (MOVIE)	70
Tonari no Seki-kun OVA (OVA)	70
Mitsuami no Kamisama (MOVIE)	70
Yume ga Sameru made (ONA)	70
Massara (ONA)	70
Poretto no Isu (ONA)	70
Byousoku 5 Centimeter (MOVIE)	70
Hal (MOVIE)	70
Kakushigoto: Himegoto wa Nandesuka (MOVIE)	70
Megane na Kanojo (OVA)	70
Kubikiri Cycle: Aoiro Savant to Zaregotozukai (OVA)	70
Kowarekake no Orgel (OVA)	70
Haikyuu!! Riku VS Kuu (OVA)	70
Wakako-zake (TV_SHORT)	70
Haikyuu!!: VS Akaten (SPECIAL)	70
Senryuu Shoujo (TV_SHORT)	70
Tsukimonogatari (TV)	70
Honobono Log (TV_SHORT)	70
resign (ONE_SHOT)	70
Sundome!! Milky Way (MANGA)	70
Hinemosu Kurari (ONE_SHOT)	70
Boku Dake ga Shitteiru (ONE_SHOT)	70
Gakumon no Susume (MANGA)	70
Anata wa Koko de, Iki ga Dekiru no? (NOVEL)	70
Delivery (MANGA)	70
Ane to Kabeshiri to Watashi (ONE_SHOT)	70
Tabimiman (MANGA)	70
Sayonara no Shougai (MANGA)	70
Usami-san wa Kamawaretai! (MANGA)	70
Change the World: Kyou Kara Satsujinki (MANGA)	70
Kyou, Curry! (MANGA)	70
Ijousha (ONE_SHOT)	70
ODETTE (MANGA)	70
Tokyo Lastochika (MANGA)	70
Yorimichi (ONE_SHOT)	70
Oudan Hodou no Manga (MANGA)	70
Kyou no Asuka Show (MANGA)	70
Liv (ONE_SHOT)	70
Happy Death Day (NOVEL)	70
Tsuiraku JK to Haijin Kyoushi (MANGA)	70
Seishun Rikon (MANGA)	70
Watashitachi, Rikon Shimasu (ONE_SHOT)	70
Kyoko to Tousan (MANGA)	70
Nemurubaka (MANGA)	70
Tokyo Alien Brothers (MANGA)	70
Renzu-sou no Sankaku (MANGA)	70
To LOVE-Ru Darkness: Bangai-hen (ONE_SHOT)	70
To LOVE-Ru: Rito to Sayaka no Houkago Ato (ONE_SHOT)	70
Dasei 67 Percent (MANGA)	70
Matching App Yuri Anthology (MANGA)	70
Yuusha Goikkou no Kaerimichi (ONE_SHOT)	70
Doukyonin ga Konoyo no Mon Janai (MANGA)	70
Amigara Dansou no Kai (ONE_SHOT)	70
Senaka Gurashi (MANGA)	70
Watashitachi wa Koi wo Shiranai (MANGA)	70
Hyouka no Emi ga Saku (ONE_SHOT)	70
Watashi no Tadashii Onii-chan (MANGA)	70
Sakka-san to Zashiki Warashi ga Kurasu Hon (MANGA)	70
Mangaka Sensei to Zashiki Warashi (MANGA)	70
100-nichi Go ni Kekkon Suru Futari (MANGA)	70
Kekkyoku Sonna Kimi Ga Suki (MANGA)	70
Nemurenai (ONE_SHOT)	70
Yorimichi (ONE_SHOT)	70
Warau Kanoko-sama (MANGA)	70
Yuri na Kataomoi-chan (MANGA)	70
Musanso Renai (ONE_SHOT)	70
Joushi to Dousei shiteimasu (MANGA)	70
Anata wa Itsumo Zurui Hito (MANGA)	70
Kokuhaku Biyori (MANGA)	70
Shiosai no Majo (MANGA)	70
Nijigahara Holograph (MANGA)	70
Bakewell Memories (ONE_SHOT)	70
8-gatsu no Soda Sui (MANGA)	70
Sensei wa Koi wo Oshierarenai (MANGA)	70
Usotsuki Mii-kun to Kowareta Maa-chan: Totteoki no Uso (MANGA)	70
Taishou Otome Otogibanashi: Pessimist no Shokutaku (MANGA)	70
Hatsukoi, Futatabi. (MANGA)	70
Sora no Yousei (MANGA)	70
Tonari no Yukionna-chan (ONE_SHOT)	70
Riko to Haru to Onsen to Iruka (MANGA)	70
Koi Tsukiyo no Himegoto (MANGA)	70
08:05 no Hengao-san (ONE_SHOT)	70
not simple (MANGA)	70
Watashi no Kobushi wo Uketomete! (MANGA)	70
PositioN (MANGA)	70
Present (ONE_SHOT)	70
Machigatteita no wa Ore Dattan da. (ONE_SHOT)	70
Madoromi-chan ga Iku. (MANGA)	70
Shibito no Koe wo Kiku ga Yoi (MANGA)	70
My Broken Mariko (MANGA)	70
Ore ga Doutei wo Sutetara Shinu Ken ni Tsuite (MANGA)	70
Ninja Shinobu-san no Junjou (MANGA)	70
Haru to Midori (MANGA)	70
Yukuyuku Futari (MANGA)	70
Horimiya Bangai-hen (ONE_SHOT)	70
White Sugar Garden, Black Salt Cage (ONE_SHOT)	70
Yochinouryoku Manga: Kuno Chiyo (MANGA)	70
Mado kara Madoka-chan (MANGA)	70
Soulmate (MANGA)	70
Black Cat (MANGA)	70
Episodeⁿ | Kuusou (ONA)	67
Kobayashi-san Chi no Maidragon S: Mini Dra EX (SPECIAL)	67
Natsume Yuujinchou × Kumamoto-ken: Hitoyoshi Kuma de no Yasashii Jikan (ONA)	67
Cencoroll 2 (MOVIE)	67
Cencoroll (MOVIE)	67
Ani ni Tsukeru Kusuri wa Nai! 3 (ONA)	67
Himote House: Dai Panic! Minna de Gokiburi Taiji (OVA)	67
Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 3rd Season (ONA)	67
Bernard-jou Iwaku. (TV_SHORT)	67
Shigofumi Picture Drama (SPECIAL)	67
Neko no Ongaeshi (MOVIE)	67
Doraemon: Nobita to Sora no Utopia (MOVIE)	67
raison d'etre (MUSIC)	67
Kororon (MUSIC)	67
Re:Petit kara Hajimeru Isekai Seikatsu (TV_SHORT)	67
SPY×FAMILY Season 2 (TV)	67
Rec (TV_SHORT)	67
Kill la Kill (TV)	67
Anime de Wakaru Shinryounaika (ONA)	67
LINE Novel CMs (ONA)	67
Umayon (TV_SHORT)	67
Uma Musume: Pretty Derby - 1st Anniversary Special Animation (SPECIAL)	67
Uma Musume: BNW no Chikai (OVA)	67
Alien 9 (OVA)	67
Yakusoku no Nanaya Matsuri (ONA)	67
Tounen-bun no Watashi e (MOVIE)	67
Asagao to Kase-san. (OVA)	67
Busu ni Hanataba wo. (TV)	67
Tsuki ga Kirei Special (SPECIAL)	67
Pan de Peace! (TV_SHORT)	67
Harmonie (MOVIE)	67
